,Sikayet Icerigi
3275,Kartal Dinler Mobilya İstikbal'den 2 ay önce verdiğimiz sipariş hala teslim edecekleri tarihte teslim edilmedi. Çalışanların üslubu çok kötü. Çözüm odaklı değiller. 2 gün içinde söyledikleri gibi dönüş yapmazlarsa ve ürünlerimi teslim etmezlerse iade edeceğim.
3277,30 Haziran 2024 itibari ile Herbaldanal sitesinden ürün sipariş ettim. Daha kargoya verilmedi ve site kapalı şu an kimseye ulaşamıyorum.
3280,"Migros Sanal Market'ten çikolatalar aldım ama eve geldiğinde hem eksik hem de tamamen su gibi erimiş, şekilleri bozulmuş olarak geldi. Aradım, yardımcı olacağız dendi fakat geri dönüş olmadı. Ben o parayı çöpe atmak için vermedim, sorunumun çözülmesini istiyorum."
3281,"07.12.2023 tarihinde askere gittim, 03.06.2024'te terhis oldum. Ancak e-devlet'te halen 'silah altında bulunmaktasınız' ibaresi yer alıyor. Terhisim gözükmüyor, bir işe başvurduğum da e-devlet'te halen silah altında bulunmaktasınız ibaresi yer aldığı için sorun çıkarıyor. Bu sorunun düzeltilmesini istiyorum."
3282,Kartal Dinler Mobilya İstikbal'den 2 ay önce verdiğimiz sipariş hala teslim edecekleri tarihte teslim edilmedi. Çalışanların üslubu çok kötü. Çözüm odaklı değiller. 2 gün içinde söyledikleri gibi dönüş yapmazlarsa ve ürünlerimi teslim etmezlerse iade edeceğim.
3283,"Kargom bulunduğum şehir olan Eskişehir e ulaştı,28.06.2024 tarihinde hala elime ulaşmadı bu kadar sorumsuzluk olamaz madem kargomuzu getirmeyecekseniz kargo şirketi kurmayın. Lütfen ilgilenilmesini istiyorum İstanbul'dan Eskişehir'e bu kadar uzun süremez bekletilmek."
3284,"Butik Ponçik'ten aldığım ürünler iki aydır gelmedi, ne iadesini yaptılar ne ürünleri gönderdiler. Arıyorum, açmıyorlar. Mesajlara dönmüyorlar. Sürekli dönüş yapacağız diyorlar. Tüm tüketici birimlerine şikayette bulundum. Hiçbir şekilde dönüş yok, sürekli bir mağduriyet."
3285,"Hukuk bürosu olduğunu söyleyen kişi/kişilerden 0312 905 53 72 numaralı telefon bilgileri içeren, dosyanız hukuk büromuza devredilmiştir mağdur olmamak için arayınız şeklinde mesajlar aldım. Emin olmama rağmen ben kontrollerimi yaptığımda hiçbir yasal borcum olmadığını gördüm."
3286,"Güvenli internetin hattıma tanımlandığını, bilgi sahibi olmak istiyorsam eğer linke tıklamam gerektiğine dair mesaj aldım ama ben Turkcell hat sahibi değilim. Ayrıca son tarihi 08/07/2024 olan ve bana ait olmayan bu numaranın (533*****48) 567.70 TL olan faturasını ödemem gerektiğini söylüyor. Şikayetçiyim."
3290,"Başakşehir MASKO şubesi çalışanları kendi aralarında muhabbet etmekten müşteriye bakmıyorlar. 2 Temmuz 2024 tarihinde 2-3-4 müşteri karşılama bölümünde çalışan arkadaşlar saat başı 1 müşteri alıyorlar. Hele 3. bölümdeki kişi klavyede harflerin yerini arıyor, başlarında bir tane yetkili yok, at koşturuyorlar."
3293,Enpara'dan yeni banka kartı çıkarttırdım. 1 ay oldu hala teslim edilmedi. PTT ile teslim ediliyormuş. 3 gün boyunca dağıtımda mesajı geldi ancak bir türlü teslim edilemedi. 4. Gün de adresi yenileyin mesajı geldi. Defalarca kargo gelmesine rağmen kartım aynı adrese teslim edilemedi.
3294,Qafarrin isimli ayakkabı markasından Instagram üzerinden ayakkabı satın aldım. Ayakkabıyı satın alırken dönüşleri çok hızlıydı. Ayakkabı küçük geldi ve 1 numara büyüğü ile değiştirmek istedim. 4 gündür iade kodu bekliyorum ve hala verilmedi.
3295,Avukat A*** M***** Ç**** hiçbir şekilde ulaşamıyorum. Daha önce kendisinin baktığı daha sonra Collecturk varlık şirketine satılan Avon icra dosyası borcumu ödeyip kapatmama rağmen hâlâ dosya açık görünüyor faiz işliyor. Bir an evvel bana ulaşıp dosyanın kapanmasını talep ediyorum
3296,"Sipariş etmek için bilgilerimi girdiğimde posta koduna ne yazmalıyım? Bana posta kodu ile ilgili hiçbir mesaj gelmedi? Bir yerden gönderilmiyor ise nereden bakacağım, nasıl bakacağım yardımcı olursanız sevinirim. Çünkü sipariş ilk defa vereceğim ve nasıl vereceğim bilmiyorum."
3297,Merhaba;
3299,"Ana hesaptaki parayı çektirmediler. Çekeceğim para bonus olmayan ana paramdı ve çekim talebinde bulundum, 2 gün bekledim. En son canlı destekle konuştum. Dediler ki 7000 TL spin atmanız lazım. Kasam 12000 TL, ben neden spin atayım?"
3302,"İnternetim başka bir pakete geçtim, daha hızlanıp çekimi güzel olacağı yerde hiçbir şekilde çekim olmuyor. Çok yavaş hattımdan olduğunu düşünüyorum. Öncekinden daha da yavaş olmaya başladığı için buraya yazıp sizleri bilgilendirmek istiyorum. Müşteri hizmetlerini arıyorum ama kişisel olarak iletişim kuramıyorum."
3303,"Merhaba, iyi günler. 16.06.2024 saat 20.45'e ait olan Muğla-Kırıkkale biletimi 15.06.2024 tarihinde iptal ettim fakat hala para iadem gerçekleşmedi. 1 ila 7 iş günü arasında olması gereken para iadem hala gerçekleşmedi. Bu sorunu çözebilir misiniz? Artık gerçekten can sıkıcı bir hal almaya başladı."
3306,Valorant için satın aldığım ürünü 4 gün kullandıktan sonra hesabım yasaklandı. Benim gibi birçok kişi de benzer bir durumla karşılaşmış. Satıcılar hesap garantisi verdiklerini söylüyorlar ancak bu doğru değil. Hem bilgisayarım hem de hesabım yasaklandı.
3310,02.07.2024 tarihinde Paribu Cineverse Viaport'ta bulunan sinema salonuna uygulamadan bilet satın alarak 15 dakika kadar önce gittim. Salon 7'de 13:10'da başlaması gereken filmi kendilerine bizzat hatırlattım ve 13:30'da zar zor başlattılar ancak 5 dakika sonra film kapandı. Böyle bir saçmalık kesinlikle kabul edilemez!
3311,"Ömrümde böyle kötü bir firma görmedim. Hayatta tekrar bu firmayla yolculuk yapmam. Resmen şehirler arası otobüs değil de köyler arası çalışan köy dolmuşu gibi. Araçlarda arıza mı desem, şoförlerin konuşma ve saygısızlık tarzı mı desem, ne desem bilemedim. Tekrardan Gülaras firmasına tövbe."
3312,Türk Telekom 2 haftadır mobil internetim çekmiyor iPhone telefonumda ayarlardan 3G alınca çok düşük hızda kullanıyorum LTE açınca telefon şebeke full olmasına rağmen internet hızım yok oluyor. Yıllardır fatura kullanıcısıyım. Bu sorunun çözülsün artık
3316,"Çiçek Sepeti'nden çiçek siparişi verdim. Verdiğim sipariş ulaşmadı. Verdikleri sipariş numarası hatalı diyor, telefonla ulaşım sağlayamıyorum. Ücret iademi istiyorum. Kimse ilgilenmiyor, bana verilen numara 378126893 fakat numara hatalı deyip telefonu kapatıyorlar."
3321,Novacar Araç Kiralama Bodrum Havaalanı'ndan 17-21 Haziran'da benden kestikleri 2500 TL depozitoyu hala iade etmediler. Lütfen yardım istiyorum. Kimseye ulaşamıyoruz. Ahlaki olarak ne kadar doğru bir davranış biçimi? Bu markanıza yakıştırıyor musunuz bu durumu?
3323,"Merhaba, Van Cumhuriyet Şubesi'nde pahalı bir alışveriş yaptım ama F**** isimli çalışan ciddi manada ilgisiz ve bilgisiz. Lütfen bu konuyla ilgili bir değişiklik yapın. Müşteri kaybediyor sürekli orası gördüğüm kadarıyla. Yoksa ötesinde güzel mağaza ve hoş."
3324,"Birkaç gün önce, sanırım 30 Haziran'da Eti Gong almıştık. Fakat yiyeceğin üstünde ölmüş bir karınca vardı. Fark etmeden yiyebilirdim, neyse ki gördüm. Bilmiyorum, bazı kişilerden de çıktı mı ama beklemezdim. Eti'nin geri dönüş yapmasını bekliyorum. Evde bahçeden gelmiş olamaz bence."
3326,"TurkNet'ten yazlığıma internet bağlatmak istedim, 1 ay oldu. Hâlâ daha açılmadı. Müşteri hizmetlerine ulaşmak imkansız. Yeni kayıt alıyorlar farklı telefondan ama sizin numaranızı aktivasyon oluşturuldu deyip kapatıyorlar. İptal edemiyorum. 3 kuruş fazla verin, Telekom'dan internet alın."
3328,"12.05.2024 tarihinde aldığımız Trailstorm Hiker 2 strap sandalet, henüz 1. Ayında, hiçbir şekilde suya maruz bırakmamamıza ve dikkatli kullanmamıza rağmen bağlantı yerinden parçalanmaya başladı. Kuşadası AVM den aldığımız mağaza da, kendilerinin sorumlu olmadığını, kontrol için merkezlerine göndereceklerini söylediler."
3331,"7 Temmuz 2023'te üye olduğum Digiturk'ün ödemesini tek çekim olarak gerçekleştirdim. 2 Temmuz 2024 tarihinde üyeliğimi iptal ettirdim ve Digiturk benden 24 TL talep ediyor. Bu firmaya o parayı vermek istemiyorum, gerekenin yapılmasını istiyorum. Diğer insanlara da aynısı olmuştur."
3332,"Turkcell Pasaj uygulamasından 20.06.2024 tarihinde 20246021014 sipariş numarası ile aldığım ürün gönderilmiyor. Turkcell Pasaj Müşteri Hizmetleri ile defalarca yaptığım görüşmelerde, firmaya kargo yapması için hatırlatma yapıldığı söyleniyor, ancak geri dönüş olmuyor ve bir arpa boyu yol alınamıyor. Bunun bir açıklaması veya yaptırımı olması gerekmez mi?"
3337,"Bireysel emeklilik iptali için telefonla iptal işlemi denedim 2 kez. ""bu işlemi yapmaya uygun sözleşmeniz yok"" otomatik cevabı verilip telefon kapanıyor. Sanırım işi yokuşa sürme politikası bu şekilde işliyor diğer şikayetlerden anlaşıldığı üzere. Tarafıma acilen dönüş yapılmasını ve iptalimin gerçekleşmesini talep ediyorum."
3338,"Haziran ayı faturam, evde olmadığım halde yüksek geldi. 5507*** tesisat numarasının kontrol edilip tarafıma bilgi verilmesini istiyorum."
3340,"Merhaba,"
3342,Modemde herhangi bir bir sorun gözükmediği halde. Modem internet sağlamıyor ve bu ilk defa olan bir şey değil bir iki saat veya on beş yirmi dakika'ya düzeliyor. Ben bunun parasını ödüyorsam sorunsuz kullanmak istiyorum. En hızlı şekilde düzeltilmesini istiyorum
3343,Kombi garanti kapsamında kullanırken bile 3 kez servis çağırmak zorunda kaldım 2 si ücretli servisler. Garantisi biteli 3 ay oldu son gelen servis kombinin değişmesi lazım diyor. Sürekli boruları doluyor sıcak alamıyorum. DemirDöküm markasına güvenerek almıştım ama çok pişmanım.
3349,14 Mart'ta Almanya schengen vizesi için randevu talebinde bulundum. Ancak hala randevu maili alamadım. Yani bir randevu vermek gerçekten bu kadar zor mu? Ağustos ayında seyahatim gerçekleşecek hala vizem yok ortada. Hiçbir şey belli değil. 4 aydır bekliyorum ne kadar daha bekleyeceğim?
3350,"Yaşadığım yerde, Superonline altyapısı olmasına rağmen, bölge temsilcisi veya yetkililerinin umursamazlığı sebebiyle, fiber bağlantıdan mahrum edilmeye daha ne kadar devam edeceğiz, Turkcell Superonline?"
3352,Beko buzdolabı aldım. Ön iki kapakta ezik. Arkasında vuruk var. Ürün açıldığında hasarlı çıktı. Değişim istiyorum. Kapakları yenilemeyi teklif ediyorlar. Arkasındaki vuruk için yapılacak bir şey olmadığını söylüyorlar. Ben yeni buzdolabı istiyorum. 2024 yılı için 50.000₺ ödeyip rezil olmak istiyorsanız Beko alabilirsiniz.
3355,"Getir'den Uni Baby şampuan aldım. Ürün orijinalliği şüpheli, kokusuna kadar her şeyi farklı. 3 gündür arıyorum, ne ilgilenen var ne de arayan."
3357,"Spor İstanbul web sitesinden kendimi kayıt yaptırmak istiyorum ama e-posta kısmına gelince 'üzgünüz, bir hata yaşandı.' diyor."
3363,4337775756858 takip numaralı kargonuzu teslim ettik diye SMS mesajı geldi fakat bana ürün mürün teslim edilmedi. SMS mesajındaki gelen linkten de baktığımda sistem üzerinde teslim edilmiştir diye gözüküyor. Bu nasıl mümkün olabiliyor? Acil yetkililerden geri dönüş bekliyorum.
3364,"İyi günler, ocak ayında aldığım dik süpürgemin ortası düğmeden dolayı kapanmıyor. Yetkili servise ulaşamadım. Yardımcı olursanız sevinirim. Çalışma aksamında bir problem yok. İstanbul Pendik'teyim, Anadolu yakasında servisiniz var mı? Garantisi devam ediyor."
3365,"Pazarama'dan alınan ürünler Aras Kargo ile yollanıyor ve ürünler kapıya teslim edilmiyor. Kargocu apartmana gelip 3. Kata çıkarmıyor ürünleri. Teslim etmediği ürünler için ""evde bulamadık"" notu bırakıyor, evde bulunmamıza rağmen. Ankara Cevizlidere Arsa kargo şubesi. 4337699343. 445"
3366,"Ürünüm günlerdir gecikmiş durumda. Sistemde Büyükçekmece yazılmasına rağmen yanlış anlaşılmadan dolayı ürün, Beşiktaş'a gidiyor. Kendi hataları yüzünden günlerdir ben mağdur oluyorum ürünüm hala ortada yok. Bilgide alamıyorum. Ürünüm Octovan Express'e 22 haziranda teslim edilmiş. İstanbul'da olduğu halde, hala ürünüm dağıtıma çıkarılmıyor!"
3368,Özellikle Sakarya'daki mağazayı gezdim dikkatimi çeken şeyler vardı. Ürünleri orijinal diye satılıyor fakat orijinal değil hiçbir ürün. Hepsinde made in Türkiye yazıyor. Bunu çalışanlara konuştum orijinal olduğuna inandırmaya çalışıyordu bizi hala :). Aşırı rahatsız edici bir durum gerekli makamlara ulaşıp şikayetçi olacağım.
3370,3 haziranda sipariş verdiğim 709539145 numaralı ürün 29 gün geçmesine rağmen hala elime ulaşmadı ortalama 2.4 haftalık teslim süresi oluyormuş yurt dışı olduğu için tamam geç gelebilir sorun değil ama bu umursamazlık nedir hayırdır para iadesi istiyorum mesajlara cevap yok.
3373,"A101 marketten Kiwi marka su sebili aldım. Ürünü eve getirdim, klor kokusu vardı. Bu nedenle servise gönderdim. Servisten geldiğinde her yeri kırık bir şekilde geldi. Yeniden gönderdim düzeltilmesi için, ürüne daha fazla zarar verilip geri gönderilmiş. Tüketici haklarına da şikayette bulunacağım. Çözüme ulaşmazsa."
3374,Evde olduğum halde evde yok denilerek mesaj bırakıldı. Epttavm pişmanlıktır.
3375,"Merhaba, acil bilet tarihimi değiştirmem gerekiyor. Yurt dışındayım ve 30 dakikadır müşteri temsilcileri meşgul. Hatta bekledim, bekledim, hep meşgul. Siteden bilet değiştiremiyorum. Acil dönüş yapın lütfen yoksa biletim yanar! Nasıl bir hizmet bu böyle!"
3381,2.07.2024 saat : 13:45 tarih ve saatli Samandıra kalkış Düzce iniş 342322 numaralı seferi 1 saattir gelmiyor muhatap yok müşteri hizmetleri cevap vermiyor Samandıra metro çalışanları ters ters konuşuyor. Kavga etmemize az kaldı. Kendinizi sevmiyorsanız zamanınız değersizse bu firmanın bozuk araçlarıyla seyahat edebilirsiniz
3384,"Kurban Bayramı öncesi basit yaka bir t-shirt aldım, ilk yıkamada renk attı ve ip attı. Mağazaya değişim için götürdüm, bir açıklama yapılmadan değişim yapılmadı. Adı ve parası var... Ben iade bile istemedim, değişim istedim. Bu kadar arkasında durulamıyorsa satmayın kardeşim."
3385,"2 gündür şubeye ulaşmaya çalışıyorum. Arıyorum, sürekli çalıyor ama kimse cevap vermiyor. Müşteri hizmetleri hiç yok. Acilen bana dönüş yapılmasını istiyorum. Bu bankayla çalışmak tam bir sorun, özellikle Etimesgut şubesi. Numara veriyorsunuz, sorun olunca bana ulaşın diyorsunuz. Arıyorum, cevap vermiyorsunuz."
3389,Hepsiburada hepsifinans limitimi 20.000 TL olarak tanımladınız. Fakat ödeme yöntemine geçtiğimde hepsi finansı seçtiğimde her şey normal gidiyorken sorgulama hatası alıyorum ve peşine arka arkaya 2 mesaj alıyorum. Görsele ekliyorum bu sorunun çözülmesi için yardım bekliyorum
3390,"İstanbul Karaköy'deki şubeden sipariş verdim. Böyle lakayıt birini koymuşlar kasaya, artistik desen diz boyu, saygısızlık desen en önden geliyor."
3391,"Müşteri temsilcisine hiçbir şekilde bağlanamıyorum. Çok zorlaştırmışlar, her sefer aradığımda Tobi'ye yönlendiriyor. Ben görüşmek istedikçe tuşlu yönlendirmeye atıyor, bu kadar zor olmamalı. Bu çağda bire bir iletişim kurup bağlanmak, ufacık bir sorunum bunlar yüzünden dağ kadar oldu. Yazık, günah."
3397,"Merhaba, daha önceleri de bu şekilde düşük belki de eski fiyatlı ekran geliyor. Tıklıyorsunuz, bambaşka fiyatlar geliyor. Ekrana defalarca baktım, tarihler güncel ama güncel olmayan Trivago'nun kendisi sanırım. Trivago'nun amacı fiyat karşılaştırması yapıp uygunları göstermek ya! Maalesef gelmiyor. Açıklama bekliyoruz!"
3398,Otel için rezervasyonları giremiyoruz. Türk Telekom bizi çok mağdur etti. Sisteme giriş çıkışları vs. yapmakta zorluk çekiyoruz. İnternet ağlarının yetersizliğinden dolayı müşterilerimiz şikayetçi. Otel işletmecileri olarak Türk Telekom'dan şikayetçiyiz. En kısa sürede çözüm bulmanızı umuyoruz.
3399,"TRT maçları şifreli veriyor. Frekans falan tutmuyor. Milli maçı seyretmek için Ermenistan'a mı gideceğiz? Bununla ilgili TRT'yi lütfen uyarın. Tüm kanallarda, TRT Belgesel'de bile milli maçı versin. Bu kadar mı zor? Millet uzaya otel yapıyor, senin gibi TRT'ye yazıklar olsun."
3401,"Türk Telekom'da hattıma haftalık 500 dakika yükledim. Ertesi gün 'dakikanız bulunmamaktadır' diyor. Bu ne saçma bir şey! Müşteri temsilcisine bağlanamıyorum, saçma sapan bir robot konuşup duruyor. Boşu boşuna param bir günde neredeyse hiç kullanmadan bitiyor. Bu ne demek? Dakikalarımın geri gelmesini ve para iadesi istiyorum."
3403,Trendyol'dan Moje Ayakkabı Mağazası'ndan aldığım ürünüm 23 Haziran'da sipariş verdiğim halde dalga geçer gibi 'Siparişiniz kargoya verildi' diyorlar fakat 9 gün olduğu halde hala ürün elime ulaşmadı. İlk defa Trendyol'da böyle bir sorun yaşıyorum. Ya paramı iade edin ya da ürünümü yollayın.
3405,"Bu sitede kesinlikle oynamayın. Çekim yapmak istiyorum, hesabı sıfırlıyorlar. İşlem sırası falan diyerek oyalıyorlar. Sonra da hesabı sıfırlayıp engelliyorlar. Ne canlı desteğe ulaşılabiliyor ne de WhatsApp iletişim adresine ulaşılabiliyor."
3406,"Bu ürünleri kullandığımdan beri kulak altı ve yanak çevremde tüylenmeler oldu ve giderek uzuyor. Bu kadar pahalı bir ürünlerin böyle sonuç vermesi çok üzücü. Ne yapmalıyım, bu konuda bana yardımcı olursanız sevinirim. Şimdiden teşekkürler. Bu konuda mağduriyetimin giderilmesini istiyorum"
3407,"Decathlon Online Alışveriş sitesini alternatifler arasında değerlendirmeyin. Ben ürün aldım, 15 gündür ne muhatap var ne de ürün hakkında bilgi alabiliyorsunuz. Benim yaptığım hatayı yapmayın. Site ve iletişim bölümüne ulaşmak imkansıza yakın. Sizi kaderinizle baş başa bırakıp sinir harbi geçirtiyorlar."
3413,"Nasıl bir bankasınız ya, bir türlü ulaşım sağlayamıyorum. 10 kere aradım, 'Aradığınız için teşekkür ederiz' diyorsunuz ve kapatıyorsunuz. 1 hafta oldu, kart gelmedi. EFT yapacağım, kendi paramı kullanamıyorum. Buraya yazma sebebim sırf sizinle iletişime geçebilmek. Ayıptır ya."
3415,Vodafone GB avına yanlışlık bir tuşa basarak abone oldum hemen iptal mesajı attım ama faturaya yansıttılar. Bir tuşa basmanın bedeli bu kadar ağır olmamalı gereğinin yapılmasını bu tutarın iptal edilmesini istiyorum. Müşteri hizmetleri kesinlikle yardımcı olmadı
3418,"Vodafone faturam iki farklı banka hesabımdan iki defa ödeme aldı. Konuyla ilgili mail attım, herhangi bir dönüş olmadı. Garanti Bankası'nda ödeme talimatım vardı, daha sonra İş Bankası'nda kredi kartıma talimat verdim. Ödemeyi her ikisinden aldı. Vodafone, bu konuda yardımcı olursanız sevinirim."
3420,Arçelik Klima Keşif ve Montaj Sorunu
3421,"Cepte Şok'tan sipariş verdim. Gelen muzlar tamamen siyahlanmış, çöptü. Arayıp bildirdim, gelip alacaklarını söylediler. Bir gün bekledim, gelmediler. Tekrar aradım, ürünü çöpe atmamı ve paramı yatıracaklarını söylediler ancak bir hafta geçti. Paramı da yatırmadılar. Hiçbir şekilde aramadılar da. Ben aradığımda da zaten ulaşılması çok zor."
3422,Mrabilis Moda adli Instagram hesabından 2100 TL lik alışveriş yaptım söylenilen tarihte kargo çıkışı yapmayıp iletişimide kestiler. 3 hafta oldu ne gelen kargo ne de geri dönüş var. Farklı hesaplar üzerinden de faaliyet göstermeye devam ediyorlar Ggb grup elektronik iletişim e havale yaptım
3424,Teknosa'dan telefon satın aldım telefonun faturasını oluşturmadılar neredeyse bir ay olacak sürekli oyalayıp duruyorlar asla yardımcı olmuyorlar. Bir daha asla alışveriş yapmam. Resmen faturamı vermiyorlar bu yasal bir durum değil sorunumu çözmüyorlar
3426,"İstanbul Forum Sea Life Akvaryum için Forum İstanbul uygulamasından 8 Temmuz Pazartesi gününe bilet almak istiyorum. Ücretsiz bir şekilde 1000 tane bilet gözüküyor fakat randevu al seçeneğine tıkladığımda hata veriyor. Bilet alamıyorum. Bunun sebebi nedir, lütfen çözüm bulun."
3428,"01.07.2024 tarihinde Temu firmasından yapılan iade, firma tarafından yapıldığı ibraz edildiği halde bankada iade görünmüyor. Sorunla ilgili olarak çözüm istiyorum. Bankada görünmüyor, iade diyor. Firma, bankanızla görüşün diyor. Kime inanalım? Yani bu şekilde süreç uzarsa bankanızla ilgimi keserim."
3431,"Marketten aldığımız sözde en güvendiğimiz dondurma markası olan Magnum karadut & böğürtlen dondurmadan kıl çıktı fark etmesek yiyecektik, böyle bir sorumsuzluk yüzünden dondurmadan soğudum bir daha nasıl alıp da güvenelim? Hayal kırıklığısın Magnum!"
3434,"TEB Bankası Akdeniz Üniversitesi şubesine (Olbia Çarşısındaki) hiçbir şekilde iletişim sağlanamıyor. Bilgi almak için arıyorum, telefon direkt meşgule atıyor farklı zamanlarda. Şubeye gidiyorum bilgi almak için, şu an o arkadaş burada değil, ben sizin iletişim bilgilerinizi alıp dönüş sağlayacağım deniliyor. Hiçbir şekilde geri dönüş sağlanmıyor."
3436,İyi günler 01.07.2024 tarihinde (dün) üst üste iki kere aynı paketi işlem onaylanmadığından yükleyerek 300 bir kere 300 diğerinde toplam 600TL yükleme Yapıldı. Kartımın ekstresinde de görebilirsiniz. En kısa zamanda gereğini yaparsanız çok sevinirim.
3440,"Yaklaşık 1 Hafta önce sipariş ettiğim ürünüm hala kargoya verilmemiş. Aradığımda faturalandırma sisteminde hata var diyorlar. 1 Haftadır çözülemiyor mu? Ürünün parası çekilip, ödeme alınıp bunun yapılması içeride para işletmekten başka bir şey değildir... İşimde ihtiyaç duyduğumdan dolayı sipariş ettim sonuç belli..."
3444,10 Haziran 2024 tarihinde Kumtel internet mağazası üzerinden elektrikli ocak siparişi verdim. Halen ürünüm gelmedi. Her gün arıyorum yardımcı olunmuyor. Her aradığımda talep oluşturulduğunu bildirerek görüşme bitiyor. Ürünüm elime ulaşmadı. Beni mağdur ettiler.
3445,Yaptığım kupon tutmasına rağmen onaylanmadı. Yaklaşık 30 dakikadır kuponumun onaylanıp kazancımın yüklenmesini bekliyorum.
3446,Şikayetvar
3452,Algida ile Kazan uygulamasında gösterilen marketlerden olan Akmanlar Market C***** A*** adlı markete gittiğimde bana 'Bizi satıcı yer olarak göstermişler ama biz satmıyoruz' dediler. Sonra tekrar anlattığımda 'Dondurmayı nereden aldıysanız oraya okutacaksınız' gibi şeyler söylediler ve satmadılar. Yardımcı olursanız sevinirim.
3457,Kırıkkale Aras Kargo evden kargo alımı yapmıyor. Sebebi yoğunlukmuş? İyi ki büyükşehir değil bu kez kargoları da teslim etmemelerinden korkardım. Kırıkkale Aras Kargo istisnasız her kargomda bana sorun yaşatıyor. Personelleri nezaketsiz kaba ve kesinlikle iş yapmak değil dertleri. Artık bıktım sürekli bir sorun.
3458,"Bosch inox çelik ocak ilk kullanımda taşan su sonucu su lekeleri, dalgalanmalar ve kahverengi lekeler oluştu. Evime gelen servis personeli sıfır ürünü gösterdiğinde aynı şekilde üzerinde dalgalanmalar mevcuttu. Bu şekilde kurulum kabul etmedim. Bosch markasına güvenerek ürünü aldım ve pişman oldum şikayetçiyim destek bekliyorum."
3460,"Konyaaltı Plajları'nda 1 bira 250 TL, ayrıca sadece Efes bira veriliyor. Bu senelerdir böyle. Fiyat hem fahiş hem de neden sadece Efes marka. Lütfen bu plajları denetleyiniz."
3461,Yatırım yaptım ve yatırım bonusu almadan oyunlara girdim. Bir kuruş kazanç vermeden bakiyeyi bitirdi. Kayıp bonusu talep ediyorum işlem başarısız diyor. Canlı desteğe yazıyorum durumu izah ediyorum çerezleri temizleyin diyor. Bizlik bir şey yok diyor muhatap olmuyor. Bakiyeyi pragmatikte bitirdim.
3462,"Sokak lambası sürekli bozuluyor ve asla yapılmıyor! Gaziler Mahallesi 1779 Sokak, Kocaeli Gebze'deki sokak lambası sürekli bozuk ve asla yapmıyorlar. Zoraki bir şekilde zar zor yaptırıyoruz, 2 gün geçmeden yine aynı sorunu yaşıyoruz ve sar başa. Şu lambayı artık gerçekten değiştirir misiniz?"
3463,Daha daha uygulaması üzerinden 600 daha puan karşılığında Domino's Pizza 1+1 Eurocup menü kazandım. Kampanyanın zamanı geçmemiş olmasına rağmen Domino's uygulaması üzerinde ya da web sitesinde kampanya ile ilgili herhangi bir bilgi yok. Kampanya kodunu girdiğimde ise hata veriyor. Siparişi nasıl sağlayabilirim?
3464,Oynadığım oyunlarda donma yaşıyorum. Bu donma problemine bir çözüm bulamadım sebebini de anlamadım. Sitenin canlı desteği sorunun çerezlerle alakalı olduğunu çerez onaylamam gerektiğini söyledi ama çerezlerle bunun bağlantısı benim aklıma yatmadı. Net bir çözüm bulalım bu işe. Yardımcı olmanızı bekliyorum.
3465,@vivensedestek @Sikayetvar.com @TÜBİS 89ea06983697 numaralı siparişimizi 25.05.2024 tarihinde verdik ve 8 Haziran tarihinde teslim edilmesi gerekirken bugünün tarihi 2.07.2024 ve aradıklarımızda hala sevkiyat programımızda yok deniliyor. Açıklama bekliyoruz!
3468,"Muş'tan geliyorum, misafir hasta olarak Gaziantep Araban Sağlık Ocağı'nda 4 aylık aşı yaptırmak istedim. Kurban Bayramı'ndan beri aşı yok deyip gönderiyorlar. Neden temin edilmiyor? Çocuklarınızın aşısı gecikiyor. Ve misafir hasta mısınız diye soruyorlar. Evet deyince direkt aşı yok diyorlar."
3469,Capcut uygulamasından yanlışlıkla Pro üyelik aldım ve hemen şimdi aboneliğimi iptal ettim. Ona rağmen ücretimi alamıyorum. Lütfen ücretimi geri öder misiniz? Dönüş alamıyorum!
3470,"Verdikleri müşteri hizmetleri hattı, kapalı. Ulaşılamıyor. Ne mail ne de WhatsApp üzerinden dönüş yapılmıyor. Verilen numarada zaten kapalı. Her yerden reklam verip insanları mağdur ediyorlar. Siparişimi iptal etmek istiyorum. Aksi takdirde avukatım ve yasal yollara başvuracağım."
3476,"Kim GB, 5 TL karşılığında oynadığım 'Mutluluğu Yakala' oyununda kazandığım 800 metabeti vermedi. Birkaç kere daha böyle sorunla karşılaştım ve param gitti. Karşılığını anlamadım. Sorunun en kısa sürede çözülmesini istiyorum. İnternet alacaktım o puanla ama puan vermediği için alamadım."
3478,"İnternet durmadan kesilip duruyor. Bıktık artık, kimseye ulaşamıyoruz. Ders yapamıyorum. Ciddiye alınmıyor. Hiçbir şekilde kimseye ulaşamıyoruz. Bıktık yani, her gün her gün kesiliyor. Yani normal değil her gün kesilmesi. Verdiğimiz paraya yazık, böyle devam ederse başka hatta geçeceğiz."
3480,Şok Net pişmanlığı. Uygun fiyatlı diye aldığım ev interneti iki ayda 237 TL olan tarifem 379 TL'ye çıkarıldı. Enflasyonla açıklanamayan zamlar yapıldı. Hiçbir ödememin faturası verilmedi. Aboneliği sonlandırmak istediğimde bir başka firmaya geçmenizi önlemek adına her engeli çıkarttılar. Hattınızı iptal etmeden kurtulamıyorsunuz. Bununla da bitmiyor.
